"2" ,999999 ,"Election Total" ,"Race Statistics" ,"" ,"NP" ,"Number of Precincts" ,"" ,"NP" ,52 ,
"2" ,999999 ,"Election Total" ,"Race Statistics" ,"" ,"NP" ,"Number of Precincts Reporting" ,"" ,"NP" ,52 ,
"2" ,999999 ,"Election Total" ,"STRAIGHT PARTY" ,"" ,"NP" ,"Number of Precincts for Race" ,"" ,"NP" ,52 ,
"2" ,999999 ,"Election Total" ,"STRAIGHT PARTY" ,"" ,"NP" ,"Number of Precincts Reporting" ,"" ,"NP" ,52 ,
"2" ,999999 ,"Election Total" ,"STRAIGHT PARTY" ,"" ,"NP" ,"Registered Voters" ,"" ,"NP" ,26663 ,
"2" ,999999 ,"Election Total" ,"STRAIGHT PARTY" ,"" ,"NP" ,"REPUBLICAN" ,"" ,"REP" ,2948 ,
"2" ,999999 ,"Election Total" ,"STRAIGHT PARTY" ,"" ,"NP" ,"DEMOCRATIC" ,"" ,"DEM" ,375 ,
"2" ,999999 ,"Election Total" ,"STRAIGHT PARTY" ,"" ,"NP" ,"CONSTITUTION" ,"" ,"CON" ,69 ,
"2" ,999999 ,"Election Total" ,"STRAIGHT PARTY" ,"" ,"NP" ,"LIBERTARIAN" ,"" ,"LIB" ,43 ,
"2" ,999999 ,"Election Total" ,"UNITED STATES SENATE" ,"300000" ,"NP" ,"Number of Precincts for Race" ,"" ,"NP" ,52 ,
"2" ,999999 ,"Election Total" ,"UNITED STATES SENATE" ,"300000" ,"NP" ,"Number of Precincts Reporting" ,"" ,"NP" ,52 ,
"2" ,999999 ,"Election Total" ,"UNITED STATES SENATE" ,"300000" ,"NP" ,"Registered Voters" ,"" ,"NP" ,26663 ,
"2" ,999999 ,"Election Total" ,"UNITED STATES SENATE" ,"300000" ,"NP" ,"LEE, MIKE" ,"300007" ,"REP" ,9122 ,
"2" ,999999 ,"Election Total" ,"UNITED STATES SENATE" ,"300000" ,"NP" ,"GRANATO, SAM F." ,"300004" ,"DEM" ,2435 ,
"2" ,999999 ,"Election Total" ,"UNITED STATES SENATE" ,"300000" ,"NP" ,"BRADLEY, SCOTT N." ,"300001" ,"CON" ,1064 ,
"2" ,999999 ,"Election Total" ,"UNITED STATES SENATE" ,"300000" ,"NP" ,"Write-in 30" ,"" ,"NP" ,64 ,
"2" ,999999 ,"Election Total" ,"U.S. HOUSE OF REPRESENTATIVES DISTRICT 1" ,"300020" ,"NP" ,"Number of Precincts for Race" ,"" ,"NP" ,52 ,
"2" ,999999 ,"Election Total" ,"U.S. HOUSE OF REPRESENTATIVES DISTRICT 1" ,"300020" ,"NP" ,"Number of Precincts Reporting" ,"" ,"NP" ,52 ,
"2" ,999999 ,"Election Total" ,"U.S. HOUSE OF REPRESENTATIVES DISTRICT 1" ,"300020" ,"NP" ,"Registered Voters" ,"" ,"NP" ,26663 ,
"2" ,999999 ,"Election Total" ,"U.S. HOUSE OF REPRESENTATIVES DISTRICT 1" ,"300020" ,"NP" ,"BISHOP, ROB" ,"300021" ,"REP" ,10651 ,
"2" ,999999 ,"Election Total" ,"U.S. HOUSE OF REPRESENTATIVES DISTRICT 1" ,"300020" ,"NP" ,"BOWEN, MORGAN E." ,"300024" ,"DEM" ,1355 ,
"2" ,999999 ,"Election Total" ,"U.S. HOUSE OF REPRESENTATIVES DISTRICT 1" ,"300020" ,"NP" ,"PEARSON, KIRK D." ,"300027" ,"CON" ,552 ,
"2" ,999999 ,"Election Total" ,"U.S. HOUSE OF REPRESENTATIVES DISTRICT 1" ,"300020" ,"NP" ,"STRATTON, JARED PAUL" ,"300030" ,"LIB" ,185 ,
"2" ,999999 ,"Election Total" ,"U.S. HOUSE OF REPRESENTATIVES DISTRICT 1" ,"300020" ,"NP" ,"Write-in 40" ,"" ,"NP" ,5 ,
"2" ,999999 ,"Election Total" ,"GOVERNOR" ,"300080" ,"NP" ,"Number of Precincts for Race" ,"" ,"NP" ,52 ,
"2" ,999999 ,"Election Total" ,"GOVERNOR" ,"300080" ,"NP" ,"Number of Precincts Reporting" ,"" ,"NP" ,52 ,
"2" ,999999 ,"Election Total" ,"GOVERNOR" ,"300080" ,"NP" ,"Registered Voters" ,"" ,"NP" ,26663 ,
"2" ,999999 ,"Election Total" ,"GOVERNOR" ,"300080" ,"NP" ,"HERBERT, GARY R." ,"300084" ,"REP" ,9940 ,
"2" ,999999 ,"Election Total" ,"GOVERNOR" ,"300080" ,"NP" ,"CORROON, PETER" ,"300087" ,"DEM" ,2240 ,
"2" ,999999 ,"Election Total" ,"GOVERNOR" ,"300080" ,"NP" ,"MCCULLOUGH, W. ANDRE" ,"300081" ,"LIB" ,267 ,
"2" ,999999 ,"Election Total" ,"GOVERNOR" ,"300080" ,"NP" ,"ANDERSON, FARLEY M." ,"300090" ,"UN" ,313 ,
"2" ,999999 ,"Election Total" ,"GOVERNOR" ,"300080" ,"NP" ,"Write-in 50" ,"" ,"NP" ,12 ,
"2" ,999999 ,"Election Total" ,"UTAH STATE SENATE" ,"300280" ,"NP" ,"Number of Precincts for Race" ,"" ,"NP" ,52 ,
"2" ,999999 ,"Election Total" ,"UTAH STATE SENATE" ,"300280" ,"NP" ,"Number of Precincts Reporting" ,"" ,"NP" ,52 ,
"2" ,999999 ,"Election Total" ,"UTAH STATE SENATE" ,"300280" ,"NP" ,"Registered Voters" ,"" ,"NP" ,26663 ,
"2" ,999999 ,"Election Total" ,"UTAH STATE SENATE" ,"300280" ,"NP" ,"KNUDSON, PETER C." ,"300284" ,"REP" ,8729 ,
"2" ,999999 ,"Election Total" ,"UTAH STATE SENATE" ,"300280" ,"NP" ,"KENT, RICHARD \"RICK\"" ,"300281" ,"DEM" ,2557 ,
"2" ,999999 ,"Election Total" ,"UTAH STATE SENATE" ,"300280" ,"NP" ,"PHIPPS, SHERRY" ,"300287" ,"CON" ,1360 ,
"2" ,999999 ,"Election Total" ,"UTAH STATE SENATE" ,"300280" ,"NP" ,"Write-in 40" ,"" ,"NP" ,14 ,
"2" ,999999 ,"Election Total" ,"STATE HOUSE OF REPRESENTATIVES DISTRICT 1" ,"300400" ,"NP" ,"Number of Precincts for Race" ,"" ,"NP" ,27 ,
