"8" ,1 ,"1.1,1.2" ,"Race Statistics" ,"" ,"NP" ,"Number of Precincts" ,"" ,"NP" ,1 ,
"8" ,1 ,"1.1,1.2" ,"Race Statistics" ,"" ,"NP" ,"Number of Precincts" ,"" ,"NP" ,1 ,
"8" ,1 ,"1.1,1.2" ,"Race Statistics" ,"" ,"NP" ,"Number of Precincts" ,"" ,"NP" ,1 ,
"8" ,1 ,"1.1,1.2" ,"Race Statistics" ,"" ,"NP" ,"Number of Precincts" ,"" ,"NP" ,1 ,
"8" ,1 ,"1.1,1.2" ,"Race Statistics" ,"" ,"NP" ,"Number of Precincts" ,"" ,"NP" ,1 ,
"8" ,1 ,"1.1,1.2" ,"Race Statistics" ,"" ,"NP" ,"Number of Precincts" ,"" ,"NP" ,1 ,
"8" ,1 ,"1.1,1.2" ,"Race Statistics" ,"" ,"NP" ,"Number of Precincts Reporting" ,"" ,"NP" ,1 ,
"8" ,1 ,"1.1,1.2" ,"Race Statistics" ,"" ,"NP" ,"Number of Precincts Reporting" ,"" ,"NP" ,1 ,
"8" ,1 ,"1.1,1.2" ,"Race Statistics" ,"" ,"NP" ,"Number of Precincts Reporting" ,"" ,"NP" ,1 ,
"8" ,1 ,"1.1,1.2" ,"Race Statistics" ,"" ,"NP" ,"Number of Precincts Reporting" ,"" ,"NP" ,1 ,
"8" ,1 ,"1.1,1.2" ,"Race Statistics" ,"" ,"NP" ,"Number of Precincts Reporting" ,"" ,"NP" ,1 ,
"8" ,1 ,"1.1,1.2" ,"Race Statistics" ,"" ,"NP" ,"Number of Precincts Reporting" ,"" ,"NP" ,1 ,
"8" ,1 ,"1.1,1.2" ,"STRAIGHT PARTY" ,"" ,"NP" ,"Number of Precincts for Race" ,"" ,"NP" ,1 ,
"8" ,1 ,"1.1,1.2" ,"STRAIGHT PARTY" ,"" ,"NP" ,"Number of Precincts for Race" ,"" ,"NP" ,1 ,
"8" ,1 ,"1.1,1.2" ,"STRAIGHT PARTY" ,"" ,"NP" ,"Number of Precincts for Race" ,"" ,"NP" ,1 ,
"8" ,1 ,"1.1,1.2" ,"STRAIGHT PARTY" ,"" ,"NP" ,"Number of Precincts for Race" ,"" ,"NP" ,1 ,
"8" ,1 ,"1.1,1.2" ,"STRAIGHT PARTY" ,"" ,"NP" ,"Number of Precincts for Race" ,"" ,"NP" ,1 ,
"8" ,1 ,"1.1,1.2" ,"STRAIGHT PARTY" ,"" ,"NP" ,"Number of Precincts for Race" ,"" ,"NP" ,1 ,
"8" ,1 ,"1.1,1.2" ,"STRAIGHT PARTY" ,"" ,"NP" ,"Number of Precincts Reporting" ,"" ,"NP" ,1 ,
"8" ,1 ,"1.1,1.2" ,"STRAIGHT PARTY" ,"" ,"NP" ,"Number of Precincts Reporting" ,"" ,"NP" ,1 ,
"8" ,1 ,"1.1,1.2" ,"STRAIGHT PARTY" ,"" ,"NP" ,"Number of Precincts Reporting" ,"" ,"NP" ,1 ,
