13	10	KANAB 1A&B 	Race Statistics 	 	NP 	Number of Precincts 	 	NP 	1
13	10	KANAB 1A&B 	Race Statistics 	 	NP 	Number of Precincts 	 	NP 	1
13	10	KANAB 1A&B 	Race Statistics 	 	NP 	Number of Precincts 	 	NP 	1
13	10	KANAB 1A&B 	Race Statistics 	 	NP 	Number of Precincts 	 	NP 	1
13	10	KANAB 1A&B 	Race Statistics 	 	NP 	Number of Precincts 	 	NP 	1
13	10	KANAB 1A&B 	Race Statistics 	 	NP 	Number of Precincts Reporting 	 	NP 	1
13	10	KANAB 1A&B 	Race Statistics 	 	NP 	Number of Precincts Reporting 	 	NP 	1
13	10	KANAB 1A&B 	Race Statistics 	 	NP 	Number of Precincts Reporting 	 	NP 	1
13	10	KANAB 1A&B 	Race Statistics 	 	NP 	Number of Precincts Reporting 	 	NP 	1
13	10	KANAB 1A&B 	Race Statistics 	 	NP 	Number of Precincts Reporting 	 	NP 	1
13	10	KANAB 1A&B 	STRAIGHT PARTY 	 	NP 	Number of Precincts for Race 	 	NP 	1
13	10	KANAB 1A&B 	STRAIGHT PARTY 	 	NP 	Number of Precincts for Race 	 	NP 	1
13	10	KANAB 1A&B 	STRAIGHT PARTY 	 	NP 	Number of Precincts for Race 	 	NP 	1
13	10	KANAB 1A&B 	STRAIGHT PARTY 	 	NP 	Number of Precincts for Race 	 	NP 	1
13	10	KANAB 1A&B 	STRAIGHT PARTY 	 	NP 	Number of Precincts for Race 	 	NP 	1
13	10	KANAB 1A&B 	STRAIGHT PARTY 	 	NP 	Number of Precincts Reporting 	 	NP 	1
13	10	KANAB 1A&B 	STRAIGHT PARTY 	 	NP 	Number of Precincts Reporting 	 	NP 	1
13	10	KANAB 1A&B 	STRAIGHT PARTY 	 	NP 	Number of Precincts Reporting 	 	NP 	1
13	10	KANAB 1A&B 	STRAIGHT PARTY 	 	NP 	Number of Precincts Reporting 	 	NP 	1
13	10	KANAB 1A&B 	STRAIGHT PARTY 	 	NP 	Number of Precincts Reporting 	 	NP 	1
13	10	KANAB 1A&B 	STRAIGHT PARTY 	 	NP 	Registered Voters 	 	NP 	0
13	10	KANAB 1A&B 	STRAIGHT PARTY 	 	NP 	Registered Voters 	 	NP 	0
13	10	KANAB 1A&B 	STRAIGHT PARTY 	 	NP 	Registered Voters 	 	NP 	0
13	10	KANAB 1A&B 	STRAIGHT PARTY 	 	NP 	Registered Voters 	 	NP 	0
13	10	KANAB 1A&B 	STRAIGHT PARTY 	 	NP 	Registered Voters 	 	NP 	617
13	10	KANAB 1A&B 	STRAIGHT PARTY 	 	NP 	REPUBLICAN 	 	REP 	80
13	10	KANAB 1A&B 	STRAIGHT PARTY 	 	NP 	REPUBLICAN 	 	REP 	25
13	10	KANAB 1A&B 	STRAIGHT PARTY 	 	NP 	REPUBLICAN 	 	REP 	5
13	10	KANAB 1A&B 	STRAIGHT PARTY 	 	NP 	REPUBLICAN 	 	REP 	0
13	10	KANAB 1A&B 	STRAIGHT PARTY 	 	NP 	REPUBLICAN 	 	REP 	110
13	10	KANAB 1A&B 	STRAIGHT PARTY 	 	NP 	DEMOCRATIC 	 	DEM 	14
13	10	KANAB 1A&B 	STRAIGHT PARTY 	 	NP 	DEMOCRATIC 	 	DEM 	7
13	10	KANAB 1A&B 	STRAIGHT PARTY 	 	NP 	DEMOCRATIC 	 	DEM 	2
13	10	KANAB 1A&B 	STRAIGHT PARTY 	 	NP 	DEMOCRATIC 	 	DEM 	0
13	10	KANAB 1A&B 	STRAIGHT PARTY 	 	NP 	DEMOCRATIC 	 	DEM 	23
13	10	KANAB 1A&B 	STRAIGHT PARTY 	 	NP 	CONSTITUTION 	 	CON 	1
13	10	KANAB 1A&B 	STRAIGHT PARTY 	 	NP 	CONSTITUTION 	 	CON 	0
13	10	KANAB 1A&B 	STRAIGHT PARTY 	 	NP 	CONSTITUTION 	 	CON 	0
13	10	KANAB 1A&B 	STRAIGHT PARTY 	 	NP 	CONSTITUTION 	 	CON 	0
13	10	KANAB 1A&B 	STRAIGHT PARTY 	 	NP 	CONSTITUTION 	 	CON 	1
13	10	KANAB 1A&B 	STRAIGHT PARTY 	 	NP 	LIBERTARIAN 	 	LIB 	1
13	10	KANAB 1A&B 	STRAIGHT PARTY 	 	NP 	LIBERTARIAN 	 	LIB 	0
13	10	KANAB 1A&B 	STRAIGHT PARTY 	 	NP 	LIBERTARIAN 	 	LIB 	0
13	10	KANAB 1A&B 	STRAIGHT PARTY 	 	NP 	LIBERTARIAN 	 	LIB 	0
13	10	KANAB 1A&B 	STRAIGHT PARTY 	 	NP 	LIBERTARIAN 	 	LIB 	1
13	10	KANAB 1A&B 	UNITED STATES SENATE 	300000	NP 	Number of Precincts for Race 	 	NP 	1
13	10	KANAB 1A&B 	UNITED STATES SENATE 	300000	NP 	Number of Precincts for Race 	 	NP 	1
13	10	KANAB 1A&B 	UNITED STATES SENATE 	300000	NP 	Number of Precincts for Race 	 	NP 	1
13	10	KANAB 1A&B 	UNITED STATES SENATE 	300000	NP 	Number of Precincts for Race 	 	NP 	1
13	10	KANAB 1A&B 	UNITED STATES SENATE 	300000	NP 	Number of Precincts for Race 	 	NP 	1
13	10	KANAB 1A&B 	UNITED STATES SENATE 	300000	NP 	Number of Precincts Reporting 	 	NP 	1
13	10	KANAB 1A&B 	UNITED STATES SENATE 	300000	NP 	Number of Precincts Reporting 	 	NP 	1
13	10	KANAB 1A&B 	UNITED STATES SENATE 	300000	NP 	Number of Precincts Reporting 	 	NP 	1
13	10	KANAB 1A&B 	UNITED STATES SENATE 	300000	NP 	Number of Precincts Reporting 	 	NP 	1
13	10	KANAB 1A&B 	UNITED STATES SENATE 	300000	NP 	Number of Precincts Reporting 	 	NP 	1
13	10	KANAB 1A&B 	UNITED STATES SENATE 	300000	NP 	Registered Voters 	 	NP 	0
13	10	KANAB 1A&B 	UNITED STATES SENATE 	300000	NP 	Registered Voters 	 	NP 	0
13	10	KANAB 1A&B 	UNITED STATES SENATE 	300000	NP 	Registered Voters 	 	NP 	0
13	10	KANAB 1A&B 	UNITED STATES SENATE 	300000	NP 	Registered Voters 	 	NP 	0
13	10	KANAB 1A&B 	UNITED STATES SENATE 	300000	NP 	Registered Voters 	 	NP 	617
13	10	KANAB 1A&B 	UNITED STATES SENATE 	300000	NP 	MIKE LEE 	300007	REP 	193
13	10	KANAB 1A&B 	UNITED STATES SENATE 	300000	NP 	MIKE LEE 	300007	REP 	88
13	10	KANAB 1A&B 	UNITED STATES SENATE 	300000	NP 	MIKE LEE 	300007	REP 	19
13	10	KANAB 1A&B 	UNITED STATES SENATE 	300000	NP 	MIKE LEE 	300007	REP 	0
