"21" ,999999 ,"Election Total" ,"Race Statistics" ,"" ,"NP" ,"Number of Precincts" ,"" ,"NP" ,23 ,
"21" ,999999 ,"Election Total" ,"Race Statistics" ,"" ,"NP" ,"Number of Precincts Reporting" ,"" ,"NP" ,23 ,
"21" ,999999 ,"Election Total" ,"STRAIGHT PARTY" ,"" ,"NP" ,"Number of Precincts for Race" ,"" ,"NP" ,23 ,
"21" ,999999 ,"Election Total" ,"STRAIGHT PARTY" ,"" ,"NP" ,"Number of Precincts Reporting" ,"" ,"NP" ,23 ,
"21" ,999999 ,"Election Total" ,"STRAIGHT PARTY" ,"" ,"NP" ,"Registered Voters" ,"" ,"NP" ,9727 ,
"21" ,999999 ,"Election Total" ,"STRAIGHT PARTY" ,"" ,"NP" ,"REPUBLICAN" ,"" ,"REP" ,1102 ,
"21" ,999999 ,"Election Total" ,"STRAIGHT PARTY" ,"" ,"NP" ,"DEMOCRATIC" ,"" ,"DEM" ,141 ,
"21" ,999999 ,"Election Total" ,"STRAIGHT PARTY" ,"" ,"NP" ,"CONSTITUTION" ,"" ,"CON" ,31 ,
"21" ,999999 ,"Election Total" ,"STRAIGHT PARTY" ,"" ,"NP" ,"LIBERTARIAN" ,"" ,"LIB" ,19 ,
"21" ,999999 ,"Election Total" ,"US SENATE" ,"300000" ,"NP" ,"Number of Precincts for Race" ,"" ,"NP" ,23 ,
"21" ,999999 ,"Election Total" ,"US SENATE" ,"300000" ,"NP" ,"Number of Precincts Reporting" ,"" ,"NP" ,23 ,
"21" ,999999 ,"Election Total" ,"US SENATE" ,"300000" ,"NP" ,"Registered Voters" ,"" ,"NP" ,9727 ,
"21" ,999999 ,"Election Total" ,"US SENATE" ,"300000" ,"NP" ,"LEE, MIKE" ,"300007" ,"REP" ,4671 ,
"21" ,999999 ,"Election Total" ,"US SENATE" ,"300000" ,"NP" ,"GRANATO, SAM" ,"300004" ,"DEM" ,871 ,
"21" ,999999 ,"Election Total" ,"US SENATE" ,"300000" ,"NP" ,"BRADLEY, SCOTT " ,"300001" ,"CON" ,387 ,
"21" ,999999 ,"Election Total" ,"US SENATE" ,"300000" ,"NP" ,"WRITE-IN" ,"" ,"NP" ,9 ,
"21" ,999999 ,"Election Total" ,"US HOUSE D3" ,"300060" ,"NP" ,"Number of Precincts for Race" ,"" ,"NP" ,23 ,
"21" ,999999 ,"Election Total" ,"US HOUSE D3" ,"300060" ,"NP" ,"Number of Precincts Reporting" ,"" ,"NP" ,23 ,
"21" ,999999 ,"Election Total" ,"US HOUSE D3" ,"300060" ,"NP" ,"Registered Voters" ,"" ,"NP" ,9727 ,
"21" ,999999 ,"Election Total" ,"US HOUSE D3" ,"300060" ,"NP" ,"CHAFFETZ, JASON" ,"300061" ,"REP" ,4974 ,
"21" ,999999 ,"Election Total" ,"US HOUSE D3" ,"300060" ,"NP" ,"HYER, KAREN" ,"300064" ,"DEM" ,698 ,
"21" ,999999 ,"Election Total" ,"US HOUSE D3" ,"300060" ,"NP" ,"SLIGTING, DOUGLAS" ,"300073" ,"CON" ,131 ,
"21" ,999999 ,"Election Total" ,"US HOUSE D3" ,"300060" ,"NP" ,"SHANNON, JAKE" ,"300070" ,"LIB" ,98 ,
"21" ,999999 ,"Election Total" ,"US HOUSE D3" ,"300060" ,"NP" ,"PUENTE, JOSEPH" ,"300067" ,"NP" ,28 ,
"21" ,999999 ,"Election Total" ,"US HOUSE D3" ,"300060" ,"NP" ,"WRITE-IN" ,"" ,"NP" ,2 ,
"21" ,999999 ,"Election Total" ,"GOVERNOR" ,"300080" ,"NP" ,"Number of Precincts for Race" ,"" ,"NP" ,23 ,
"21" ,999999 ,"Election Total" ,"GOVERNOR" ,"300080" ,"NP" ,"Number of Precincts Reporting" ,"" ,"NP" ,23 ,
"21" ,999999 ,"Election Total" ,"GOVERNOR" ,"300080" ,"NP" ,"Registered Voters" ,"" ,"NP" ,9727 ,
"21" ,999999 ,"Election Total" ,"GOVERNOR" ,"300080" ,"NP" ,"HERBERT, GARY" ,"300084" ,"REP" ,4779 ,
