27	720	SG38 	Race Statistics 	 	NP 	Number of Precincts 	 	NP 	1
27	720	SG38 	Race Statistics 	 	NP 	Number of Precincts 	 	NP 	1
27	720	SG38 	Race Statistics 	 	NP 	Number of Precincts 	 	NP 	1
27	720	SG38 	Race Statistics 	 	NP 	Number of Precincts 	 	NP 	1
27	720	SG38 	Race Statistics 	 	NP 	Number of Precincts 	 	NP 	1
27	720	SG38 	Race Statistics 	 	NP 	Number of Precincts 	 	NP 	1
27	720	SG38 	Race Statistics 	 	NP 	Number of Precincts Reporting 	 	NP 	1
27	720	SG38 	Race Statistics 	 	NP 	Number of Precincts Reporting 	 	NP 	1
27	720	SG38 	Race Statistics 	 	NP 	Number of Precincts Reporting 	 	NP 	1
27	720	SG38 	Race Statistics 	 	NP 	Number of Precincts Reporting 	 	NP 	1
27	720	SG38 	Race Statistics 	 	NP 	Number of Precincts Reporting 	 	NP 	1
27	720	SG38 	Race Statistics 	 	NP 	Number of Precincts Reporting 	 	NP 	1
27	720	SG38 	Straight Party 	 	NP 	Number of Precincts for Race 	 	NP 	1
27	720	SG38 	Straight Party 	 	NP 	Number of Precincts for Race 	 	NP 	1
27	720	SG38 	Straight Party 	 	NP 	Number of Precincts for Race 	 	NP 	1
27	720	SG38 	Straight Party 	 	NP 	Number of Precincts for Race 	 	NP 	1
27	720	SG38 	Straight Party 	 	NP 	Number of Precincts for Race 	 	NP 	1
27	720	SG38 	Straight Party 	 	NP 	Number of Precincts for Race 	 	NP 	1
27	720	SG38 	Straight Party 	 	NP 	Number of Precincts Reporting 	 	NP 	1
27	720	SG38 	Straight Party 	 	NP 	Number of Precincts Reporting 	 	NP 	1
27	720	SG38 	Straight Party 	 	NP 	Number of Precincts Reporting 	 	NP 	1
27	720	SG38 	Straight Party 	 	NP 	Number of Precincts Reporting 	 	NP 	1
27	720	SG38 	Straight Party 	 	NP 	Number of Precincts Reporting 	 	NP 	1
27	720	SG38 	Straight Party 	 	NP 	Number of Precincts Reporting 	 	NP 	1
27	720	SG38 	Straight Party 	 	NP 	Registered Voters 	 	NP 	0
27	720	SG38 	Straight Party 	 	NP 	Registered Voters 	 	NP 	0
27	720	SG38 	Straight Party 	 	NP 	Registered Voters 	 	NP 	0
27	720	SG38 	Straight Party 	 	NP 	Registered Voters 	 	NP 	0
27	720	SG38 	Straight Party 	 	NP 	Registered Voters 	 	NP 	0
27	720	SG38 	Straight Party 	 	NP 	Registered Voters 	 	NP 	695
27	720	SG38 	Straight Party 	 	NP 	Republican 	 	REP 	83
27	720	SG38 	Straight Party 	 	NP 	Republican 	 	REP 	9
27	720	SG38 	Straight Party 	 	NP 	Republican 	 	REP 	4
27	720	SG38 	Straight Party 	 	NP 	Republican 	 	REP 	0
27	720	SG38 	Straight Party 	 	NP 	Republican 	 	REP 	8
27	720	SG38 	Straight Party 	 	NP 	Republican 	 	REP 	104
27	720	SG38 	Straight Party 	 	NP 	Democratic 	 	DEM 	18
27	720	SG38 	Straight Party 	 	NP 	Democratic 	 	DEM 	2
27	720	SG38 	Straight Party 	 	NP 	Democratic 	 	DEM 	2
27	720	SG38 	Straight Party 	 	NP 	Democratic 	 	DEM 	0
27	720	SG38 	Straight Party 	 	NP 	Democratic 	 	DEM 	3
27	720	SG38 	Straight Party 	 	NP 	Democratic 	 	DEM 	25
27	720	SG38 	Straight Party 	 	NP 	Constitution 	 	CON 	0
27	720	SG38 	Straight Party 	 	NP 	Constitution 	 	CON 	1
27	720	SG38 	Straight Party 	 	NP 	Constitution 	 	CON 	0
27	720	SG38 	Straight Party 	 	NP 	Constitution 	 	CON 	0
27	720	SG38 	Straight Party 	 	NP 	Constitution 	 	CON 	0
27	720	SG38 	Straight Party 	 	NP 	Constitution 	 	CON 	1
27	720	SG38 	Straight Party 	 	NP 	Libertarian 	 	LIB 	5
27	720	SG38 	Straight Party 	 	NP 	Libertarian 	 	LIB 	0
27	720	SG38 	Straight Party 	 	NP 	Libertarian 	 	LIB 	0
27	720	SG38 	Straight Party 	 	NP 	Libertarian 	 	LIB 	0
27	720	SG38 	Straight Party 	 	NP 	Libertarian 	 	LIB 	0
27	720	SG38 	Straight Party 	 	NP 	Libertarian 	 	LIB 	5
27	720	SG38 	United States Senator 	300000	NP 	Number of Precincts for Race 	 	NP 	1
27	720	SG38 	United States Senator 	300000	NP 	Number of Precincts for Race 	 	NP 	1
27	720	SG38 	United States Senator 	300000	NP 	Number of Precincts for Race 	 	NP 	1
27	720	SG38 	United States Senator 	300000	NP 	Number of Precincts for Race 	 	NP 	1
27	720	SG38 	United States Senator 	300000	NP 	Number of Precincts for Race 	 	NP 	1
27	720	SG38 	United States Senator 	300000	NP 	Number of Precincts for Race 	 	NP 	1
27	720	SG38 	United States Senator 	300000	NP 	Number of Precincts Reporting 	 	NP 	1
27	720	SG38 	United States Senator 	300000	NP 	Number of Precincts Reporting 	 	NP 	1
27	720	SG38 	United States Senator 	300000	NP 	Number of Precincts Reporting 	 	NP 	1
27	720	SG38 	United States Senator 	300000	NP 	Number of Precincts Reporting 	 	NP 	1
27	720	SG38 	United States Senator 	300000	NP 	Number of Precincts Reporting 	 	NP 	1
27	720	SG38 	United States Senator 	300000	NP 	Number of Precincts Reporting 	 	NP 	1
27	720	SG38 	United States Senator 	300000	NP 	Registered Voters 	 	NP 	0
27	720	SG38 	United States Senator 	300000	NP 	Registered Voters 	 	NP 	0
27	720	SG38 	United States Senator 	300000	NP 	Registered Voters 	 	NP 	0
27	720	SG38 	United States Senator 	300000	NP 	Registered Voters 	 	NP 	0
27	720	SG38 	United States Senator 	300000	NP 	Registered Voters 	 	NP 	0
27	720	SG38 	United States Senator 	300000	NP 	Registered Voters 	 	NP 	695
27	720	SG38 	United States Senator 	300000	NP 	MIKE LEE 	300007	REP 	169
27	720	SG38 	United States Senator 	300000	NP 	MIKE LEE 	300007	REP 	23
27	720	SG38 	United States Senator 	300000	NP 	MIKE LEE 	300007	REP 	10
27	720	SG38 	United States Senator 	300000	NP 	MIKE LEE 	300007	REP 	0
27	720	SG38 	United States Senator 	300000	NP 	MIKE LEE 	300007	REP 	11
27	720	SG38 	United States Senator 	300000	NP 	MIKE LEE 	300007	REP 	213
27	720	SG38 	United States Senator 	300000	NP 	SAM F. GRANATO 	300004	DEM 	40
27	720	SG38 	United States Senator 	300000	NP 	SAM F. GRANATO 	300004	DEM 	3
27	720	SG38 	United States Senator 	300000	NP 	SAM F. GRANATO 	300004	DEM 	5
27	720	SG38 	United States Senator 	300000	NP 	SAM F. GRANATO 	300004	DEM 	0
27	720	SG38 	United States Senator 	300000	NP 	SAM F. GRANATO 	300004	DEM 	4
27	720	SG38 	United States Senator 	300000	NP 	SAM F. GRANATO 	300004	DEM 	52
27	720	SG38 	United States Senator 	300000	NP 	SCOTT N. BRADLEY 	300001	CON 	13
27	720	SG38 	United States Senator 	300000	NP 	SCOTT N. BRADLEY 	300001	CON 	6
27	720	SG38 	United States Senator 	300000	NP 	SCOTT N. BRADLEY 	300001	CON 	0
27	720	SG38 	United States Senator 	300000	NP 	SCOTT N. BRADLEY 	300001	CON 	0
27	720	SG38 	United States Senator 	300000	NP 	SCOTT N. BRADLEY 	300001	CON 	0
27	720	SG38 	United States Senator 	300000	NP 	SCOTT N. BRADLEY 	300001	CON 	19
27	720	SG38 	United States Senator 	300000	NP 	Write-in 40 	 	NP 	0
27	720	SG38 	United States Senator 	300000	NP 	Write-in 40 	 	NP 	0
27	720	SG38 	United States Senator 	300000	NP 	Write-in 40 	 	NP 	0
27	720	SG38 	United States Senator 	300000	NP 	Write-in 40 	 	NP 	0
27	720	SG38 	United States Senator 	300000	NP 	Write-in 40 	 	NP 	0
27	720	SG38 	United States Senator 	300000	NP 	Write-in 40 	 	NP 	0
27	720	SG38 	U.S. Congressional District 2 	300040	NP 	Number of Precincts for Race 	 	NP 	1
27	720	SG38 	U.S. Congressional District 2 	300040	NP 	Number of Precincts for Race 	 	NP 	1
27	720	SG38 	U.S. Congressional District 2 	300040	NP 	Number of Precincts for Race 	 	NP 	1
27	720	SG38 	U.S. Congressional District 2 	300040	NP 	Number of Precincts for Race 	 	NP 	1
27	720	SG38 	U.S. Congressional District 2 	300040	NP 	Number of Precincts for Race 	 	NP 	1
27	720	SG38 	U.S. Congressional District 2 	300040	NP 	Number of Precincts for Race 	 	NP 	1
27	720	SG38 	U.S. Congressional District 2 	300040	NP 	Number of Precincts Reporting 	 	NP 	1
27	720	SG38 	U.S. Congressional District 2 	300040	NP 	Number of Precincts Reporting 	 	NP 	1
27	720	SG38 	U.S. Congressional District 2 	300040	NP 	Number of Precincts Reporting 	 	NP 	1
